country,month,clean_share
Hungary,2018/5/1,13.379
Hungary,2018/6/1,14.838
Hungary,2018/7/1,12.169
Hungary,2018/8/1,12.55
Hungary,2018/9/1,11.869
Hungary,2018/10/1,12.549
Hungary,2018/11/1,11.267
Hungary,2018/12/1,8.992
Hungary,2019/1/1,8.865
Hungary,2019/2/1,14.077
Hungary,2019/3/1,16.179
Hungary,2019/4/1,15.162
Hungary,2019/5/1,15.234
Hungary,2019/6/1,15.667
Hungary,2019/7/1,14.046
Hungary,2019/8/1,13.825
Hungary,2019/9/1,13.659
Hungary,2019/10/1,11.029
Hungary,2019/11/1,10.363
Hungary,2019/12/1,10.718
Hungary,2020/1/1,7.695
Hungary,2020/2/1,13.71
Hungary,2020/3/1,14.402
Hungary,2020/4/1,18.628
Hungary,2020/5/1,20.303
Hungary,2020/6/1,19.841
Hungary,2020/7/1,18.315
Hungary,2020/8/1,20.626
Hungary,2020/9/1,16.919
Hungary,2020/10/1,14.688
Hungary,2020/11/1,11.551
Hungary,2020/12/1,11.119
Hungary,2021/1/1,10.68
Hungary,2021/2/1,14.198
Hungary,2021/3/1,19.433
Hungary,2021/4/1,20.57
Hungary,2021/5/1,24.821
Hungary,2021/6/1,25.266
Hungary,2021/7/1,24.054
Hungary,2021/8/1,22.593
Hungary,2021/9/1,21.939
Hungary,2021/10/1,19.547
Hungary,2021/11/1,14.732
Hungary,2021/12/1,12.345
Hungary,2022/1/1,14.21
Hungary,2022/2/1,19.424
Hungary,2022/3/1,21.109
Hungary,2022/4/1,23.225
Hungary,2022/5/1,25.984
Hungary,2022/6/1,28.558
Hungary,2022/7/1,25.984
Hungary,2022/8/1,28.92
Hungary,2022/9/1,22.772
Hungary,2022/10/1,19.469
Hungary,2022/11/1,14.217
Hungary,2022/12/1,10.846
Hungary,2023/1/1,12.948
Hungary,2023/2/1,19.53
Hungary,2023/3/1,25.178
Hungary,2023/4/1,27.276
Hungary,2023/5/1,36.198
Hungary,2023/6/1,36.472
Hungary,2023/7/1,32.659
Hungary,2023/8/1,30.901
Hungary,2023/9/1,29.218
Hungary,2023/10/1,23.716
Hungary,2023/11/1,19.015
Hungary,2023/12/1,15.768
Hungary,2024/1/1,18.718
Hungary,2024/2/1,25.583
Hungary,2024/3/1,33.024
Hungary,2024/4/1,37.841
Hungary,2024/5/1,41.236
Hungary,2024/6/1,39.096
Hungary,2024/7/1,39.324
Hungary,2024/8/1,39.784
Hungary,2024/9/1,36.204
Hungary,2024/10/1,30.561
Hungary,2024/11/1,19.369
Hungary,2024/12/1,15.457
Hungary,2025/1/1,17.085
Hungary,2025/2/1,26.024
Hungary,2025/3/1,35.687
Hungary,2025/4/1,42.598
Hungary,2025/5/1,43.297
Hungary,2025/6/1,52.965
Hungary,2025/7/1,46.579
Hungary,2025/8/1,49.498
Hungary,2025/9/1,38.623
Hungary,2025/10/1,30.299
Hungary,2025/11/1,22.018
Latvia,2017/1/1,45.541
Latvia,2017/2/1,40.765
Latvia,2017/3/1,84.405
Latvia,2017/4/1,81.402
Latvia,2017/5/1,84.31
Latvia,2017/6/1,62.534
Latvia,2017/7/1,64.917
Latvia,2017/8/1,80.556
